measurement:
L1-L4(width),295.0
L1-L2(halfDep),86.5
""
landmark:
name,x,y
L1,-5,667
L2,42,486
L4,914,670
""
coordinate:
frame,sub1_x,sub1_y,sub2_x,sub2_y,sub1_freeze,sub2_freeze
0,-1,-1,-1,-1,False,False
1,-1,-1,-1,-1,False,False
2,-1,-1,-1,-1,False,False
3,-1,-1,-1,-1,False,False
4,-1,-1,-1,-1,False,False
5,-1,-1,-1,-1,False,False
6,-1,-1,-1,-1,False,False
7,-1,-1,-1,-1,False,False
8,-1,-1,-1,-1,False,False
9,-1,-1,-1,-1,False,False
10,-1,-1,-1,-1,False,False
11,-1,-1,-1,-1,False,False
12,-1,-1,-1,-1,False,False
13,-1,-1,-1,-1,False,False
14,-1,-1,-1,-1,False,False
15,-1,-1,-1,-1,False,False
16,-1,-1,-1,-1,False,False
17,-1,-1,-1,-1,False,False
18,-1,-1,-1,-1,False,False
19,-1,-1,-1,-1,False,False
20,-1,-1,-1,-1,False,False
21,-1,-1,-1,-1,False,False
22,-1,-1,-1,-1,False,False
23,-1,-1,-1,-1,False,False
24,-1,-1,-1,-1,False,False
25,-1,-1,-1,-1,False,False
26,-1,-1,-1,-1,False,False
27,-1,-1,-1,-1,False,False
28,-1,-1,-1,-1,False,False
29,-1,-1,-1,-1,False,False
30,-1,-1,-1,-1,False,False
31,-1,-1,-1,-1,False,False
32,-1,-1,-1,-1,False,False
33,-1,-1,-1,-1,False,False
34,-1,-1,-1,-1,False,False
35,-1,-1,-1,-1,False,False
36,-1,-1,-1,-1,False,False
37,-1,-1,-1,-1,False,False
38,-1,-1,-1,-1,False,False
39,-1,-1,-1,-1,False,False
40,-1,-1,-1,-1,False,False
41,-1,-1,-1,-1,False,False
42,-1,-1,-1,-1,False,False
43,-1,-1,-1,-1,False,False
44,-1,-1,-1,-1,False,False
45,-1,-1,-1,-1,False,False
46,-1,-1,-1,-1,False,False
47,-1,-1,-1,-1,False,False
48,-1,-1,-1,-1,False,False
49,-1,-1,-1,-1,False,False
50,-1,-1,-1,-1,False,False
51,-1,-1,-1,-1,False,False
52,-1,-1,-1,-1,False,False
53,-1,-1,-1,-1,False,False
54,-1,-1,-1,-1,False,False
55,-1,-1,-1,-1,False,False
56,-1,-1,-1,-1,False,False
57,-1,-1,-1,-1,False,False
58,-1,-1,-1,-1,False,False
59,-1,-1,-1,-1,False,False
60,-1,-1,-1,-1,False,False
61,-1,-1,-1,-1,False,False
62,-1,-1,-1,-1,False,False
63,-1,-1,-1,-1,False,False
64,-1,-1,-1,-1,False,False
65,-1,-1,-1,-1,False,False
66,-1,-1,-1,-1,False,False
67,-1,-1,-1,-1,False,False
68,-1,-1,-1,-1,False,False
69,-1,-1,-1,-1,False,False
70,-1,-1,-1,-1,False,False
71,-1,-1,-1,-1,False,False
72,-1,-1,-1,-1,False,False
73,-1,-1,-1,-1,False,False
74,-1,-1,-1,-1,False,False
75,-1,-1,-1,-1,False,False
76,-1,-1,-1,-1,False,False
77,-1,-1,-1,-1,False,False
78,-1,-1,-1,-1,False,False
79,-1,-1,-1,-1,False,False
80,-1,-1,-1,-1,False,False
81,-1,-1,-1,-1,False,False
82,-1,-1,-1,-1,False,False
83,-1,-1,-1,-1,False,False
84,-1,-1,-1,-1,False,False
85,-1,-1,-1,-1,False,False
86,-1,-1,-1,-1,False,False
87,-1,-1,-1,-1,False,False
88,-1,-1,-1,-1,False,False
89,-1,-1,-1,-1,False,False
90,-1,-1,-1,-1,False,False
91,-1,-1,-1,-1,False,False
92,-1,-1,-1,-1,False,False
93,-1,-1,-1,-1,False,False
94,-1,-1,-1,-1,False,False
95,-1,-1,-1,-1,False,False
96,-1,-1,-1,-1,False,False
97,-1,-1,-1,-1,False,False
98,-1,-1,-1,-1,False,False
99,-1,-1,-1,-1,False,False
100,-1,-1,-1,-1,False,False
101,-1,-1,-1,-1,False,False
102,-1,-1,-1,-1,False,False
103,-1,-1,-1,-1,False,False
104,-1,-1,-1,-1,False,False
105,-1,-1,-1,-1,False,False
106,-1,-1,-1,-1,False,False
107,-1,-1,-1,-1,False,False
108,-1,-1,-1,-1,False,False
109,-1,-1,-1,-1,False,False
110,-1,-1,-1,-1,False,False
111,-1,-1,-1,-1,False,False
112,-1,-1,-1,-1,False,False
113,-1,-1,-1,-1,False,False
114,-1,-1,-1,-1,False,False
115,-1,-1,-1,-1,False,False
116,-1,-1,-1,-1,False,False
117,-1,-1,-1,-1,False,False
118,-1,-1,-1,-1,False,False
119,-1,-1,-1,-1,False,False
120,-1,-1,-1,-1,False,False
121,-1,-1,-1,-1,False,False
122,-1,-1,-1,-1,False,False
123,-1,-1,-1,-1,False,False
124,-1,-1,-1,-1,False,False
125,-1,-1,-1,-1,False,False
126,-1,-1,-1,-1,False,False
127,-1,-1,-1,-1,False,False
128,-1,-1,-1,-1,False,False
129,-1,-1,-1,-1,False,False
130,-1,-1,-1,-1,False,False
131,-1,-1,-1,-1,False,False
132,-1,-1,-1,-1,False,False
133,-1,-1,-1,-1,False,False
134,-1,-1,-1,-1,False,False
135,-1,-1,-1,-1,False,False
136,-1,-1,-1,-1,False,False
137,-1,-1,-1,-1,False,False
138,-1,-1,-1,-1,False,False
139,-1,-1,-1,-1,False,False
140,-1,-1,-1,-1,False,False
141,-1,-1,-1,-1,False,False
142,-1,-1,-1,-1,False,False
143,-1,-1,-1,-1,False,False
